species	SeqCRZa_100	SeqCRZa_101	SeqCRZa_102	SeqCRZa_103	SeqCRZa_104	SeqCRZa_105	SeqCRZa_106	SeqCRZa_107	SeqCRZa_108	SeqCRZa_10	SeqCRZa_11	SeqCRZa_12	SeqCRZa_13	SeqCRZa_14	SeqCRZa_15	SeqCRZa_16	SeqCRZa_17	SeqCRZa_18	SeqCRZa_19	SeqCRZa_1	SeqCRZa_20	SeqCRZa_21	SeqCRZa_22	SeqCRZa_23	SeqCRZa_24	SeqCRZa_25	SeqCRZa_26	SeqCRZa_27	SeqCRZa_28	SeqCRZa_29	SeqCRZa_2	SeqCRZa_30	SeqCRZa_31	SeqCRZa_32	SeqCRZa_33	SeqCRZa_34	SeqCRZa_35	SeqCRZa_36	SeqCRZa_37	SeqCRZa_38	SeqCRZa_39	SeqCRZa_3	SeqCRZa_40	SeqCRZa_41	SeqCRZa_42	SeqCRZa_43	SeqCRZa_44	SeqCRZa_45	SeqCRZa_46	SeqCRZa_47	SeqCRZa_48	SeqCRZa_49	SeqCRZa_4	SeqCRZa_50	SeqCRZa_51	SeqCRZa_52	SeqCRZa_53	SeqCRZa_54	SeqCRZa_55	SeqCRZa_56	SeqCRZa_57	SeqCRZa_58	SeqCRZa_59	SeqCRZa_5	SeqCRZa_60	SeqCRZa_61	SeqCRZa_62	SeqCRZa_63	SeqCRZa_64	SeqCRZa_65	SeqCRZa_66	SeqCRZa_67	SeqCRZa_68	SeqCRZa_69	SeqCRZa_6	SeqCRZa_70	SeqCRZa_71	SeqCRZa_72	SeqCRZa_73	SeqCRZa_74	SeqCRZa_75	SeqCRZa_76	SeqCRZa_77	SeqCRZa_78	SeqCRZa_79	SeqCRZa_7	SeqCRZa_80	SeqCRZa_81	SeqCRZa_82	SeqCRZa_83	SeqCRZa_84	SeqCRZa_85	SeqCRZa_86	SeqCRZa_87	SeqCRZa_88	SeqCRZa_8	SeqCRZa_90	SeqCRZa_91	SeqCRZa_92	SeqCRZa_93	SeqCRZa_94	SeqCRZa_95	SeqCRZa_96	SeqCRZa_97	SeqCRZa_98	SeqCRZa_99	SeqCRZa_9
Corynebacterium_durum	0	0	0.00252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0	0	0	0	0	0	0	0	0
Clavibacter_michiganensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria_rhizophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia_mucilaginosa	0	0	0	0	0	0.01283	0	0	0.02029	0	0	0	0	0.00753	0	0.00936	0	0	0	0.00601	0.01657	0	0	0	0.00533	0	0	0	0	0	0	0.00604	0.00039	0.01475	0.02916	0.00731	0.04169	0	0	0.00186	0	0	0	0.03475	0	0	0.06508	0.01675	0.00094	0	0.00536	0.04738	0.03681	0.01057	0	0	0.00677	0.01626	0	0.01651	0	0	0	0	0	0	0.01821	0	0.03329	0.01151	0.00644	0	0	0.0003	0.04768	0	0	0.13421	0.01677	0	0	0	0.02324	0.00168	0	0	0	0	0.00166	0	0	0	0	0	0	0.05742	0	0	0	0	0.00018	0	0	0	0	0	0
Rothia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118	0.00588	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00658	0	0	0	0	0	0	0	0.00604	0	0	0	0	0	0	0	0	0	0.00276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00877
Bifidobacterium_adolescentis	0	0.03787	0	3.86094	6.45061	0	9.34437	0.11052	0	1.39753	1.34359	0.06329	1.93873	3.81535	2.82918	0.06146	0.56101	3.36732	3.87349	0.86898	10.90185	3.27105	0.30617	2.58582	0	0	0	0.44351	0.44162	0.71293	4.61696	0	0.03559	0	3.38923	7.2325	0.21405	39.35231	0	1.78567	2.53802	0.79703	3.62907	0	0	0.03541	18.53054	0.31273	0.30396	0.82646	0.12729	1.13358	1.34879	0.37219	0.82806	2.86198	9.17771	2.30334	2.46508	1.44053	3.07483	0.80866	1.18264	2.59403	0.78476	0	16.70269	0	3.17544	1.04032	10.17898	6.99844	2.23718	0.79317	0.56208	2.35473	3.35012	17.38554	15.96853	9.62384	0.89058	0	0.35275	0.13825	0.91191	0.01248	3.96366	0.25765	0	0	0	0	0.19192	0	0	0.85063	0	0	0	0	1.42347	0	0	0	3.18949	0	20.86105
Bifidobacterium_angulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26354	0	0	0	0	0.8243	0	0.06439	0	0.00246	0.23625	0	0	0	0	0.07116	0	0	0	0	0	0	0.13711	0	0	0	1.44273	0.07885	0	0	0	0	0	0	0	0	0	0	0	0.06012	0	0	0	0	0.03085	0.05935	0.32917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_animalis	0.01917	0	0	0	0	0	0.05974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01133	0	0	0.00763	0	0	0	0.24352	0	0	0.00395	0	0
Bifidobacterium_bifidum	0.5745	0	5.10443	0	0.32196	0	0	0.26337	0	0	0	0	0.40434	0	0	0	1.03404	0	0	0	0	0	0.27912	0.42726	0	0	0	0.26093	0	0	0	0	0	0	0	0.04064	0	0	0	0	0	0	0	0	0	0	0.63278	0	0	0	0	0	0.01308	0.30331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20401	0.61046	1.49605	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	2.07021	0	0	0	1.16982	0	0
Bifidobacterium_breve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02799	4.30743	0	0	0.30651	0	0	0.34193	0	0	1.4357	0	0	0	0	0.34564	0
Bifidobacterium_catenulatum	0	0	0	0	0	0	0.03604	0	0	0	0	0	0.03694	0.0069	0	0.09425	0	0.36086	0	0	0.02332	0.004	0	0	0	0	0	0.07715	0	0	0.03424	0.02657	0	0	0	0.08528	0	0.03411	0	0	0.08773	0	0	0	0	0	0.38888	0	0	0	0	0	0.06092	0.03246	0	0.23042	0.06437	0.007	0	0	0	0	0	0.0719	0	0	0.07593	0	0.00629	0.07203	0.18114	0	0	0	0	0.02135	0.01061	0	0.01636	0	0	0	0.08947	0	0.07452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06245
Bifidobacterium_dentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05902	0	0.00864	0.08559	0	0	0.0114	0	0	0.01206	0	0	0.01205	0	0.0086	0
Bifidobacterium_longum	0.8079	0	0	1.38286	1.65867	0.6645	3.15108	0.0888	2.90543	0.40011	0.21804	0	0.26096	0.58566	0.02519	0.01104	0.00817	0.06619	0.31606	0.07222	1.84374	0.10769	0.62346	0.34877	0	0	0.86117	0.00413	0.01772	0.01028	0.27695	0.26928	0	0.61269	0.09948	0.23026	0.36256	1.71414	0	0.0013	0.05029	0.00134	0.8215	0.02794	0.16975	0	0.58384	0	0	0.16212	0.00541	0.09009	0.07418	0.32417	0.0149	0.14971	0.14952	0.21745	0.01953	0.01448	0.19121	0	0.20146	0.03516	0	0.0672	1.28002	6.1029	0.18428	0.26138	1.8928	1.22304	0.46981	0.01799	0.03302	0.26673	0.10684	0.40785	0.16336	0.10497	0.04474	0	0.00542	0.00454	0.24097	0	0.01842	0.00991	0.21865	0	1.25559	1.64071	0.03449	0.48258	5.65664	0	0.4956	2.03589	0.0462	0.13474	0.35015	0.43	2.86407	0.07397	1.64203	4.59887	0.10905
Bifidobacterium_pseudocatenulatum	0.65897	0.08125	2.51903	0.07159	0.41088	0.13467	1.03084	0	3.03065	0.02984	0	0	0.03658	0.12097	0.00782	0	0.00084	0.01125	0.12068	0	0.19814	0.07608	0	0.02219	0.23424	0	0.41232	0	0	0	0	0.04922	0	0.11606	0	0.00267	0	0.05294	0	0	0	0	0.19705	0	0.08784	0	0.03948	0	0	0.09531	0	0	0	0.0084	0.05179	0	0	0.00495	0.08777	0	0	0	0.01653	0	0.00129	0	0.04108	0	0	0.01072	0.05229	0.11754	0.22927	0	0.0007	0.02291	0	0.01814	0	0.09195	0.00582	0.05404	0	0	0	0	0	0.09929	1.23383	0	0.56165	1.12842	0.01237	1.60487	0.47653	0	0.00625	1.76275	0.3969	0	0	0.6928	1.08881	0	0.93584	0.93182	0
Gardnerella_vaginalis	0	0	0	0	0	0	0.0153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00137	0	0	0	0	0.07418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.00018	0	0	0	0.00364	0	0	0	0	0	0.12415	0	0	0	0	0	0	0	0	0
Scardovia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scardovia_wiggsiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01341	0	0	0	0	0	0	0	0	0.00897	0	0	0	0	0	0	0	0	0
Adlercreutzia_equolifaciens	0	0.09387	0	0.0771	0.04805	0.08207	0.0195	0	0.11218	0	0	0	0	0.00777	0.05616	0	0	0	0.04001	0	0.00446	0.0414	0	0	0	0	0.01066	0.02262	0	0	0	0	0	0.03745	0	0	0	0	0	0	0.02213	0	0.00223	0	0.01867	0	0	0	0	0	0	0	0	0	0.00729	0	0	0	0	0	0.00195	0	0.02549	0.01429	0	0.02159	0.01053	0.00363	0	0	0.01007	0.04437	0	0	0	0.05109	0	0.02098	0	0.0548	0	0	0	0	0.00262	0	0	0.01821	0	0	0	0	0	0	0.06527	0.01801	0	0.00138	0	0.27022	0	0.21525	0	0.00137	0.06417	0.52207	0
Atopobium_parvulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium_rimae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium_vaginae	0	0	0	0	0	0	0.02131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_aerofaciens	0.50709	0.15551	0	0	0	0.2093	0.64926	0.04283	0	0.60802	0.61014	0.26868	2.39697	1.66501	0.81505	0.21212	0.10435	0.3061	0.92469	0.68234	3.81199	0.45563	0.65176	0.38931	1.45974	0	0.36734	0.15498	0.26909	0.07899	0.7596	1.56066	0.42649	0.22412	0.39378	1.37333	0.43233	4.55039	0	3.60215	0.92783	1.68652	1.1305	0.93044	0.12713	0.28358	1.79595	0.67728	0.39575	1.07755	0.09501	0.92807	0.99224	0.81905	0.20337	0.48812	3.2127	0.36622	0.56644	1.16656	0.51085	0.52548	0.24253	0.90641	0.3112	0.51153	2.97107	0	0.73341	0.75842	1.69077	0.63544	0.31102	0.40212	0.59859	0.6107	0.21199	1.64401	3.44883	0.14849	0.42025	0.16693	0.70181	0.14738	0.05609	0.23496	0.92913	0.13107	0	0	0	0	0.11532	0	0	0.45019	0.13562	0	0.10004	0.15836	0	0.78801	0	0	0	0	3.61034
Collinsella_intestinalis	0	0	0	0	0	0	0.02537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49647	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_stercoris	0	0	0	0.38962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_tanakaei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57881	0	0
Collinsella_unclassified	0	0	0.02889	0.25871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19353	0	0	0	0.01659	0	0	0	0	0	0	0	0	0
Coriobacteriaceae_bacterium_phI	0	0	0	0	0	0	0.3222	0	0.13267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1444	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella_lenta	0	0	0.09717	0	0.01018	0	0.00798	0	0	0	0	0	0	0.00072	0	0	0	0	0	0	0.00019	0	0	0	0	0.00917	0	0	0	0	0	0	0	0.00243	0	0	0	0	0	0	0	0	0.05214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01202	0	0.02179	0	0	0	0	0	0	0	0	0	0.00398	0	0.00872	0	0	0	0	0	0	0	0.00031	0	0	0.0056	0.01354	0.00139	0.04343	0.00194	0	0	0.02176	0	0.00106	0.00019	0.00518	0.0119	0.01577	0.00076	0.00027	0
Eggerthella_unclassified	0	0.01336	0.33913	0.04247	0.10979	0.00452	0.12267	0	0.04431	0	0	0	0	0.01826	0	0	0	0	0.06043	0	0.01218	0.04561	0	0	0	0.05003	0.00162	0.01033	0	0	0	0	0	0.02795	0	0	0	0.00985	0.01429	0	0.0042	0	0.07981	0.02377	0.00344	0	0	0	0	0	0	0	0	0.02419	0	0	0	0	0	0	0	0	0	0	0	0.0664	0	0.07873	0	0	0	0	0	0	0	0.00109	0	0.00434	0	0.00906	0	0	0	0	0	0	0	0.02352	0.00607	0.04227	0.20154	0.13281	0.02844	1.23536	0.11595	0	0.00459	0.44507	0.00909	0.11329	0.06967	0.0631	0.29235	0.03689	0.04169	0.09117	0
Gordonibacter_pamelaeae	0.10274	0	0	0	0.00643	0	0.03068	0	0.0039	0	0	0	0	0	0	0	0	0	0.01205	0	0	0.01474	0	0	0	0	0	0	0.00804	0	0	0	0	0.0172	0	0	0	0	0	0	0	0	0.13828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00479	0	0.00495	0	0.00511	0	0	0	0	0	0	0	0	0	0.03115	0	0.0222	0	0	0	0	0	0	0	0	0	0	0	0.00858	0	0	0.00668	0	0	0	0.00633	0	0.00458	0.01875	0	0	0.00407	0	0
Olsenella_unclassified	0	0	0	0	0	0	0.01156	0	0	0	0.01483	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00571	0	0	0	0	0	0	0	0	0	0.01595	0.0061	0	0.02556	0	0.01289	0	0	0	0	0	0.00595	0	0	0	0.01565	0	0	0	0	0	0.00391	0.00121	0	0	0	0	0	0	0	0	0	0.00599	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0.00064	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00177	0	0	0.04649	0.14137	0
