plate.id,substrates,Class,Time.h,Species,OD590
G9,D-Cellobiose,Carbohydrates,0,P.copri,0.315
H9,Alpha-D-Lactose,Carbohydrates,0,P.copri,0.311
A10,Beta-Methyl-D-Glucoside,Carbohydrates,0,P.copri,0.306
B10,D-Xylose,Carbohydrates,0,P.copri,0.313
C10,I-Erythritol,Carbohydrates,0,P.copri,0.302
D10,D-Mannitol,Carbohydrates,0,P.copri,0.311
E10,N-Acetyl-D-glucosamine,Carbohydrates,0,P.copri,0.307
F10,D-Glucosaminic acid,Carboxylic acids,0,P.copri,0.312
G10,Glucose-1-Phosphate,Carbohydrates,0,P.copri,0.31
H10,Alpha-Glycerol-Phosphate,Carbohydrates,0,P.copri,0.307
A11,D-Galactoic acid-gamma-lactone,Carbohydrates,0,P.copri,0.325
B11,D-Galacturonic acid,Carboxylic acids,0,P.copri,0.308
C11,2-Hydroxybenzoic Acid,Phenolic acids,0,P.copri,0.313
D11,4-Hydroxybenzoic acid,Phenolic acids,0,P.copri,0.311
E11,gamma-Hydroxy-Butyric Acid,Carboxylic acids,0,P.copri,0.316
F11,Itaconic acid,Carboxylic acids,0,P.copri,0.315
G11,Alpha-Ketobutyric acid,Carboxylic acids,0,P.copri,0.315
H11,D-Malic acid,Carboxylic acids,0,P.copri,0.314
A12,L-Arginine,Amino acids,0,P.copri,0.313
B12,L-Asparagine,Amino acids,0,P.copri,0.297
C12,L-Phenylalanine,Amino acids,0,P.copri,0.3
D12,L-Serine,Amino acids,0,P.copri,0.303
E12,L-Threonine,Amino acids,0,P.copri,0.303
F12,Glycyl-L-glutamic Acid,Amino acids,0,P.copri,0.306
G12,Phenethylamine,Amines,0,P.copri,0.308
H12,Putrescine,Amines,0,P.copri,0.319
A1,Water,Water,12,P.copri,0.284
B1,Methyl pyruvate,Carboxylic acids,12,P.copri,0.342
C1,Tween 40,Polymers,12,P.copri,0.216
D1,Tween 80,Polymers,12,P.copri,0.235
E1,Alpha-Cyclodextrin,Polymers,12,P.copri,0.304
F1,Glycogen,Polymers,12,P.copri,0.264
G1,D-Cellobiose,Carbohydrates,12,P.copri,0.314
H1,Alpha-D-Lactose,Carbohydrates,12,P.copri,0.439
A2,Beta-Methyl-D-Glucoside,Carbohydrates,12,P.copri,0.28
B2,D-Xylose,Carbohydrates,12,P.copri,0.364
C2,I-Erythritol,Carbohydrates,12,P.copri,0.28
D2,D-Mannitol,Carbohydrates,12,P.copri,0.286
E2,N-Acetyl-D-glucosamine,Carbohydrates,12,P.copri,0.272
F2,D-Glucosaminic acid,Carboxylic acids,12,P.copri,0.276
G2,Glucose-1-Phosphate,Carbohydrates,12,P.copri,0.304
H2,Alpha-Glycerol-Phosphate,Carbohydrates,12,P.copri,0.248
A3,D-Galactoic acid-gamma-lactone,Carbohydrates,12,P.copri,0.274
B3,D-Galacturonic acid,Carboxylic acids,12,P.copri,0.302
C3,2-Hydroxybenzoic Acid,Phenolic acids,12,P.copri,0.313
D3,4-Hydroxybenzoic acid,Phenolic acids,12,P.copri,0.304
E3,gamma-Hydroxy-Butyric Acid,Carboxylic acids,12,P.copri,0.307
F3,Itaconic acid,Carboxylic acids,12,P.copri,0.286
G3,Alpha-Ketobutyric acid,Carboxylic acids,12,P.copri,0.29
H3,D-Malic acid,Carboxylic acids,12,P.copri,0.273
A4,L-Arginine,Amino acids,12,P.copri,0.286
B4,L-Asparagine,Amino acids,12,P.copri,0.303
C4,L-Phenylalanine,Amino acids,12,P.copri,0.31
D4,L-Serine,Amino acids,12,P.copri,0.308
E4,L-Threonine,Amino acids,12,P.copri,0.305
F4,Glycyl-L-glutamic Acid,Amino acids,12,P.copri,0.293
G4,Phenethylamine,Amines,12,P.copri,0.308
H4,Putrescine,Amines,12,P.copri,0.279
A5,Water,Water,12,P.copri,0.273
B5,Methyl pyruvate,Carboxylic acids,12,P.copri,0.383
C5,Tween 40,Polymers,12,P.copri,0.232
D5,Tween 80,Polymers,12,P.copri,0.233
E5,Alpha-Cyclodextrin,Polymers,12,P.copri,0.34
F5,Glycogen,Polymers,12,P.copri,0.291
G5,D-Cellobiose,Carbohydrates,12,P.copri,0.345
H5,Alpha-D-Lactose,Carbohydrates,12,P.copri,0.368
A6,Beta-Methyl-D-Glucoside,Carbohydrates,12,P.copri,0.271
B6,D-Xylose,Carbohydrates,12,P.copri,0.399
C6,I-Erythritol,Carbohydrates,12,P.copri,0.296
D6,D-Mannitol,Carbohydrates,12,P.copri,0.306
E6,N-Acetyl-D-glucosamine,Carbohydrates,12,P.copri,0.315
F6,D-Glucosaminic acid,Carboxylic acids,12,P.copri,0.295
G6,Glucose-1-Phosphate,Carbohydrates,12,P.copri,0.306
H6,Alpha-Glycerol-Phosphate,Carbohydrates,12,P.copri,0.262
A7,D-Galactoic acid-gamma-lactone,Carbohydrates,12,P.copri,0.301
B7,D-Galacturonic acid,Carboxylic acids,12,P.copri,0.304
C7,2-Hydroxybenzoic Acid,Phenolic acids,12,P.copri,0.315
D7,4-Hydroxybenzoic acid,Phenolic acids,12,P.copri,0.313
E7,gamma-Hydroxy-Butyric Acid,Carboxylic acids,12,P.copri,0.31
F7,Itaconic acid,Carboxylic acids,12,P.copri,0.289
G7,Alpha-Ketobutyric acid,Carboxylic acids,12,P.copri,0.308
H7,D-Malic acid,Carboxylic acids,12,P.copri,0.271
A8,L-Arginine,Amino acids,12,P.copri,0.313
B8,L-Asparagine,Amino acids,12,P.copri,0.296
C8,L-Phenylalanine,Amino acids,12,P.copri,0.303
D8,L-Serine,Amino acids,12,P.copri,0.301
E8,L-Threonine,Amino acids,12,P.copri,0.303
F8,Glycyl-L-glutamic Acid,Amino acids,12,P.copri,0.302
G8,Phenethylamine,Amines,12,P.copri,0.303
H8,Putrescine,Amines,12,P.copri,0.265
A9,Water,Water,12,P.copri,0.302
B9,Methyl pyruvate,Carboxylic acids,12,P.copri,0.363
C9,Tween 40,Polymers,12,P.copri,0.242
D9,Tween 80,Polymers,12,P.copri,0.228
E9,Alpha-Cyclodextrin,Polymers,12,P.copri,0.341
F9,Glycogen,Polymers,12,P.copri,0.303
G9,D-Cellobiose,Carbohydrates,12,P.copri,0.344
H9,Alpha-D-Lactose,Carbohydrates,12,P.copri,0.4
A10,Beta-Methyl-D-Glucoside,Carbohydrates,12,P.copri,0.274
B10,D-Xylose,Carbohydrates,12,P.copri,0.39
C10,I-Erythritol,Carbohydrates,12,P.copri,0.291
D10,D-Mannitol,Carbohydrates,12,P.copri,0.299
E10,N-Acetyl-D-glucosamine,Carbohydrates,12,P.copri,0.303
F10,D-Glucosaminic acid,Carboxylic acids,12,P.copri,0.303
G10,Glucose-1-Phosphate,Carbohydrates,12,P.copri,0.315
H10,Alpha-Glycerol-Phosphate,Carbohydrates,12,P.copri,0.258
A11,D-Galactoic acid-gamma-lactone,Carbohydrates,12,P.copri,0.303
B11,D-Galacturonic acid,Carboxylic acids,12,P.copri,0.295
C11,2-Hydroxybenzoic Acid,Phenolic acids,12,P.copri,0.304
D11,4-Hydroxybenzoic acid,Phenolic acids,12,P.copri,0.312
E11,gamma-Hydroxy-Butyric Acid,Carboxylic acids,12,P.copri,0.318
F11,Itaconic acid,Carboxylic acids,12,P.copri,0.294
G11,Alpha-Ketobutyric acid,Carboxylic acids,12,P.copri,0.322
H11,D-Malic acid,Carboxylic acids,12,P.copri,0.304
A12,L-Arginine,Amino acids,12,P.copri,0.308
B12,L-Asparagine,Amino acids,12,P.copri,0.271
C12,L-Phenylalanine,Amino acids,12,P.copri,0.286
D12,L-Serine,Amino acids,12,P.copri,0.281
E12,L-Threonine,Amino acids,12,P.copri,0.291
F12,Glycyl-L-glutamic Acid,Amino acids,12,P.copri,0.289
G12,Phenethylamine,Amines,12,P.copri,0.273
H12,Putrescine,Amines,12,P.copri,0.284
A1,Water,Water,36,P.copri,0.291
B1,Methyl pyruvate,Carboxylic acids,36,P.copri,0.403
C1,Tween 40,Polymers,36,P.copri,0.287
D1,Tween 80,Polymers,36,P.copri,0.233
E1,Alpha-Cyclodextrin,Polymers,36,P.copri,0.292
F1,Glycogen,Polymers,36,P.copri,0.286
G1,D-Cellobiose,Carbohydrates,36,P.copri,0.333
H1,Alpha-D-Lactose,Carbohydrates,36,P.copri,0.394
A2,Beta-Methyl-D-Glucoside,Carbohydrates,36,P.copri,0.305
B2,D-Xylose,Carbohydrates,36,P.copri,0.364
C2,I-Erythritol,Carbohydrates,36,P.copri,0.271
D2,D-Mannitol,Carbohydrates,36,P.copri,0.28
E2,N-Acetyl-D-glucosamine,Carbohydrates,36,P.copri,0.268
F2,D-Glucosaminic acid,Carboxylic acids,36,P.copri,0.268
G2,Glucose-1-Phosphate,Carbohydrates,36,P.copri,0.307
H2,Alpha-Glycerol-Phosphate,Carbohydrates,36,P.copri,0.232
A3,D-Galactoic acid-gamma-lactone,Carbohydrates,36,P.copri,0.275
B3,D-Galacturonic acid,Carboxylic acids,36,P.copri,0.306
C3,2-Hydroxybenzoic Acid,Phenolic acids,36,P.copri,0.315
D3,4-Hydroxybenzoic acid,Phenolic acids,36,P.copri,0.308
E3,gamma-Hydroxy-Butyric Acid,Carboxylic acids,36,P.copri,0.297
F3,Itaconic acid,Carboxylic acids,36,P.copri,0.289
G3,Alpha-Ketobutyric acid,Carboxylic acids,36,P.copri,0.29
H3,D-Malic acid,Carboxylic acids,36,P.copri,0.323
A4,L-Arginine,Amino acids,36,P.copri,0.284
B4,L-Asparagine,Amino acids,36,P.copri,0.297
C4,L-Phenylalanine,Amino acids,36,P.copri,0.304
D4,L-Serine,Amino acids,36,P.copri,0.297
E4,L-Threonine,Amino acids,36,P.copri,0.296
F4,Glycyl-L-glutamic Acid,Amino acids,36,P.copri,0.292
G4,Phenethylamine,Amines,36,P.copri,0.288
H4,Putrescine,Amines,36,P.copri,0.275
A5,Water,Water,36,P.copri,0.28
B5,Methyl pyruvate,Carboxylic acids,36,P.copri,0.39
C5,Tween 40,Polymers,36,P.copri,0.244
D5,Tween 80,Polymers,36,P.copri,0.245
E5,Alpha-Cyclodextrin,Polymers,36,P.copri,0.332
F5,Glycogen,Polymers,36,P.copri,0.269
G5,D-Cellobiose,Carbohydrates,36,P.copri,0.346
H5,Alpha-D-Lactose,Carbohydrates,36,P.copri,0.38
A6,Beta-Methyl-D-Glucoside,Carbohydrates,36,P.copri,0.27
B6,D-Xylose,Carbohydrates,36,P.copri,0.427
C6,I-Erythritol,Carbohydrates,36,P.copri,0.297
D6,D-Mannitol,Carbohydrates,36,P.copri,0.301
E6,N-Acetyl-D-glucosamine,Carbohydrates,36,P.copri,0.31
F6,D-Glucosaminic acid,Carboxylic acids,36,P.copri,0.277
G6,Glucose-1-Phosphate,Carbohydrates,36,P.copri,0.291
H6,Alpha-Glycerol-Phosphate,Carbohydrates,36,P.copri,0.272
A7,D-Galactoic acid-gamma-lactone,Carbohydrates,36,P.copri,0.286
B7,D-Galacturonic acid,Carboxylic acids,36,P.copri,0.304
C7,2-Hydroxybenzoic Acid,Phenolic acids,36,P.copri,0.324
D7,4-Hydroxybenzoic acid,Phenolic acids,36,P.copri,0.315
E7,gamma-Hydroxy-Butyric Acid,Carboxylic acids,36,P.copri,0.303
F7,Itaconic acid,Carboxylic acids,36,P.copri,0.288
G7,Alpha-Ketobutyric acid,Carboxylic acids,36,P.copri,0.293
H7,D-Malic acid,Carboxylic acids,36,P.copri,0.284
A8,L-Arginine,Amino acids,36,P.copri,0.334
B8,L-Asparagine,Amino acids,36,P.copri,0.289
C8,L-Phenylalanine,Amino acids,36,P.copri,0.296
D8,L-Serine,Amino acids,36,P.copri,0.301
E8,L-Threonine,Amino acids,36,P.copri,0.299
F8,Glycyl-L-glutamic Acid,Amino acids,36,P.copri,0.303
G8,Phenethylamine,Amines,36,P.copri,0.289
H8,Putrescine,Amines,36,P.copri,0.253
A9,Water,Water,36,P.copri,0.312
B9,Methyl pyruvate,Carboxylic acids,36,P.copri,0.392
C9,Tween 40,Polymers,36,P.copri,0.249
D9,Tween 80,Polymers,36,P.copri,0.248
E9,Alpha-Cyclodextrin,Polymers,36,P.copri,0.338
F9,Glycogen,Polymers,36,P.copri,0.285
G9,D-Cellobiose,Carbohydrates,36,P.copri,0.369
H9,Alpha-D-Lactose,Carbohydrates,36,P.copri,0.446
A10,Beta-Methyl-D-Glucoside,Carbohydrates,36,P.copri,0.263
B10,D-Xylose,Carbohydrates,36,P.copri,0.392
C10,I-Erythritol,Carbohydrates,36,P.copri,0.292
D10,D-Mannitol,Carbohydrates,36,P.copri,0.302
E10,N-Acetyl-D-glucosamine,Carbohydrates,36,P.copri,0.3
F10,D-Glucosaminic acid,Carboxylic acids,36,P.copri,0.302
G10,Glucose-1-Phosphate,Carbohydrates,36,P.copri,0.312
H10,Alpha-Glycerol-Phosphate,Carbohydrates,36,P.copri,0.27
A11,D-Galactoic acid-gamma-lactone,Carbohydrates,36,P.copri,0.307
B11,D-Galacturonic acid,Carboxylic acids,36,P.copri,0.306
C11,2-Hydroxybenzoic Acid,Phenolic acids,36,P.copri,0.311
D11,4-Hydroxybenzoic acid,Phenolic acids,36,P.copri,0.312
E11,gamma-Hydroxy-Butyric Acid,Carboxylic acids,36,P.copri,0.311
F11,Itaconic acid,Carboxylic acids,36,P.copri,0.303
G11,Alpha-Ketobutyric acid,Carboxylic acids,36,P.copri,0.307
H11,D-Malic acid,Carboxylic acids,36,P.copri,0.329
A12,L-Arginine,Amino acids,36,P.copri,0.283
B12,L-Asparagine,Amino acids,36,P.copri,0.282
C12,L-Phenylalanine,Amino acids,36,P.copri,0.293
D12,L-Serine,Amino acids,36,P.copri,0.288
E12,L-Threonine,Amino acids,36,P.copri,0.284
F12,Glycyl-L-glutamic Acid,Amino acids,36,P.copri,0.295
G12,Phenethylamine,Amines,36,P.copri,0.311
H12,Putrescine,Amines,36,P.copri,0.312
A1,Water,Water,24,P.copri,0.241
B1,Methyl pyruvate,Carboxylic acids,24,P.copri,0.327
C1,Tween 40,Polymers,24,P.copri,0.224
D1,Tween 80,Polymers,24,P.copri,0.22
E1,Alpha-Cyclodextrin,Polymers,24,P.copri,0.25
F1,Glycogen,Polymers,24,P.copri,0.273
G1,D-Cellobiose,Carbohydrates,24,P.copri,0.277
H1,Alpha-D-Lactose,Carbohydrates,24,P.copri,0.405
A2,Beta-Methyl-D-Glucoside,Carbohydrates,24,P.copri,0.276
B2,D-Xylose,Carbohydrates,24,P.copri,0.345
C2,I-Erythritol,Carbohydrates,24,P.copri,0.259
D2,D-Mannitol,Carbohydrates,24,P.copri,0.254
E2,N-Acetyl-D-glucosamine,Carbohydrates,24,P.copri,0.257
F2,D-Glucosaminic acid,Carboxylic acids,24,P.copri,0.255
G2,Glucose-1-Phosphate,Carbohydrates,24,P.copri,0.288
H2,Alpha-Glycerol-Phosphate,Carbohydrates,24,P.copri,0.253
A3,D-Galactoic acid-gamma-lactone,Carbohydrates,24,P.copri,0.28
B3,D-Galacturonic acid,Carboxylic acids,24,P.copri,0.295
C3,2-Hydroxybenzoic Acid,Phenolic acids,24,P.copri,0.296
D3,4-Hydroxybenzoic acid,Phenolic acids,24,P.copri,0.294
E3,gamma-Hydroxy-Butyric Acid,Carboxylic acids,24,P.copri,0.29
F3,Itaconic acid,Carboxylic acids,24,P.copri,0.275
G3,Alpha-Ketobutyric acid,Carboxylic acids,24,P.copri,0.283
H3,D-Malic acid,Carboxylic acids,24,P.copri,0.299
A4,L-Arginine,Amino acids,24,P.copri,0.278
B4,L-Asparagine,Amino acids,24,P.copri,0.286
C4,L-Phenylalanine,Amino acids,24,P.copri,0.298
D4,L-Serine,Amino acids,24,P.copri,0.29
E4,L-Threonine,Amino acids,24,P.copri,0.292
F4,Glycyl-L-glutamic Acid,Amino acids,24,P.copri,0.29
G4,Phenethylamine,Amines,24,P.copri,0.293
H4,Putrescine,Amines,24,P.copri,0.275
A5,Water,Water,24,P.copri,0.259
B5,Methyl pyruvate,Carboxylic acids,24,P.copri,0.364
C5,Tween 40,Polymers,24,P.copri,0.244
D5,Tween 80,Polymers,24,P.copri,0.234
E5,Alpha-Cyclodextrin,Polymers,24,P.copri,0.324
F5,Glycogen,Polymers,24,P.copri,0.269
G5,D-Cellobiose,Carbohydrates,24,P.copri,0.337
H5,Alpha-D-Lactose,Carbohydrates,24,P.copri,0.383
A6,Beta-Methyl-D-Glucoside,Carbohydrates,24,P.copri,0.264
B6,D-Xylose,Carbohydrates,24,P.copri,0.401
C6,I-Erythritol,Carbohydrates,24,P.copri,0.289
D6,D-Mannitol,Carbohydrates,24,P.copri,0.295
E6,N-Acetyl-D-glucosamine,Carbohydrates,24,P.copri,0.308
F6,D-Glucosaminic acid,Carboxylic acids,24,P.copri,0.28
G6,Glucose-1-Phosphate,Carbohydrates,24,P.copri,0.289
H6,Alpha-Glycerol-Phosphate,Carbohydrates,24,P.copri,0.257
A7,D-Galactoic acid-gamma-lactone,Carbohydrates,24,P.copri,0.267
B7,D-Galacturonic acid,Carboxylic acids,24,P.copri,0.288
C7,2-Hydroxybenzoic Acid,Phenolic acids,24,P.copri,0.299
D7,4-Hydroxybenzoic acid,Phenolic acids,24,P.copri,0.31
E7,gamma-Hydroxy-Butyric Acid,Carboxylic acids,24,P.copri,0.302
F7,Itaconic acid,Carboxylic acids,24,P.copri,0.284
G7,Alpha-Ketobutyric acid,Carboxylic acids,24,P.copri,0.295
H7,D-Malic acid,Carboxylic acids,24,P.copri,0.285
A8,L-Arginine,Amino acids,24,P.copri,0.304
B8,L-Asparagine,Amino acids,24,P.copri,0.279
C8,L-Phenylalanine,Amino acids,24,P.copri,0.291
D8,L-Serine,Amino acids,24,P.copri,0.297
E8,L-Threonine,Amino acids,24,P.copri,0.3
F8,Glycyl-L-glutamic Acid,Amino acids,24,P.copri,0.302
G8,Phenethylamine,Amines,24,P.copri,0.29
H8,Putrescine,Amines,24,P.copri,0.266
A9,Water,Water,24,P.copri,0.279
B9,Methyl pyruvate,Carboxylic acids,24,P.copri,0.373
C9,Tween 40,Polymers,24,P.copri,0.253
D9,Tween 80,Polymers,24,P.copri,0.235
E9,Alpha-Cyclodextrin,Polymers,24,P.copri,0.339
F9,Glycogen,Polymers,24,P.copri,0.285
G9,D-Cellobiose,Carbohydrates,24,P.copri,0.358
H9,Alpha-D-Lactose,Carbohydrates,24,P.copri,0.412
A10,Beta-Methyl-D-Glucoside,Carbohydrates,24,P.copri,0.257
B10,D-Xylose,Carbohydrates,24,P.copri,0.378
C10,I-Erythritol,Carbohydrates,24,P.copri,0.289
D10,D-Mannitol,Carbohydrates,24,P.copri,0.284
E10,N-Acetyl-D-glucosamine,Carbohydrates,24,P.copri,0.302
F10,D-Glucosaminic acid,Carboxylic acids,24,P.copri,0.298
G10,Glucose-1-Phosphate,Carbohydrates,24,P.copri,0.307
H10,Alpha-Glycerol-Phosphate,Carbohydrates,24,P.copri,0.275
A11,D-Galactoic acid-gamma-lactone,Carbohydrates,24,P.copri,0.258
B11,D-Galacturonic acid,Carboxylic acids,24,P.copri,0.299
C11,2-Hydroxybenzoic Acid,Phenolic acids,24,P.copri,0.313
D11,4-Hydroxybenzoic acid,Phenolic acids,24,P.copri,0.314
E11,gamma-Hydroxy-Butyric Acid,Carboxylic acids,24,P.copri,0.314
F11,Itaconic acid,Carboxylic acids,24,P.copri,0.297
G11,Alpha-Ketobutyric acid,Carboxylic acids,24,P.copri,0.31
H11,D-Malic acid,Carboxylic acids,24,P.copri,0.303
A12,L-Arginine,Amino acids,24,P.copri,0.265
B12,L-Asparagine,Amino acids,24,P.copri,0.292
C12,L-Phenylalanine,Amino acids,24,P.copri,0.301
D12,L-Serine,Amino acids,24,P.copri,0.292
E12,L-Threonine,Amino acids,24,P.copri,0.297
F12,Glycyl-L-glutamic Acid,Amino acids,24,P.copri,0.304
G12,Phenethylamine,Amines,24,P.copri,0.317
H12,Putrescine,Amines,24,P.copri,0.3
A1,Water,Water,60,P.copri,0.249
B1,Methyl pyruvate,Carboxylic acids,60,P.copri,0.306
C1,Tween 40,Polymers,60,P.copri,0.33
D1,Tween 80,Polymers,60,P.copri,0.256
E1,Alpha-Cyclodextrin,Polymers,60,P.copri,0.291
F1,Glycogen,Polymers,60,P.copri,0.29
G1,D-Cellobiose,Carbohydrates,60,P.copri,0.354
H1,Alpha-D-Lactose,Carbohydrates,60,P.copri,0.498
A2,Beta-Methyl-D-Glucoside,Carbohydrates,60,P.copri,0.241
B2,D-Xylose,Carbohydrates,60,P.copri,0.417
C2,I-Erythritol,Carbohydrates,60,P.copri,0.241
D2,D-Mannitol,Carbohydrates,60,P.copri,0.281
E2,N-Acetyl-D-glucosamine,Carbohydrates,60,P.copri,0.284
F2,D-Glucosaminic acid,Carboxylic acids,60,P.copri,0.299
G2,Glucose-1-Phosphate,Carbohydrates,60,P.copri,0.325
H2,Alpha-Glycerol-Phosphate,Carbohydrates,60,P.copri,0.294
A3,D-Galactoic acid-gamma-lactone,Carbohydrates,60,P.copri,0.258
B3,D-Galacturonic acid,Carboxylic acids,60,P.copri,0.31
C3,2-Hydroxybenzoic Acid,Phenolic acids,60,P.copri,0.325
D3,4-Hydroxybenzoic acid,Phenolic acids,60,P.copri,0.308
E3,gamma-Hydroxy-Butyric Acid,Carboxylic acids,60,P.copri,0.306
F3,Itaconic acid,Carboxylic acids,60,P.copri,0.301
G3,Alpha-Ketobutyric acid,Carboxylic acids,60,P.copri,0.291
H3,D-Malic acid,Carboxylic acids,60,P.copri,0.447
A4,L-Arginine,Amino acids,60,P.copri,0.232
B4,L-Asparagine,Amino acids,60,P.copri,0.291
C4,L-Phenylalanine,Amino acids,60,P.copri,0.302
D4,L-Serine,Amino acids,60,P.copri,0.29
E4,L-Threonine,Amino acids,60,P.copri,0.292
F4,Glycyl-L-glutamic Acid,Amino acids,60,P.copri,0.298
G4,Phenethylamine,Amines,60,P.copri,0.302
H4,Putrescine,Amines,60,P.copri,0.311
A5,Water,Water,60,P.copri,0.262
B5,Methyl pyruvate,Carboxylic acids,60,P.copri,0.399
C5,Tween 40,Polymers,60,P.copri,0.305
D5,Tween 80,Polymers,60,P.copri,0.25
E5,Alpha-Cyclodextrin,Polymers,60,P.copri,0.348
F5,Glycogen,Polymers,60,P.copri,0.311
G5,D-Cellobiose,Carbohydrates,60,P.copri,0.381
H5,Alpha-D-Lactose,Carbohydrates,60,P.copri,0.423
A6,Beta-Methyl-D-Glucoside,Carbohydrates,60,P.copri,0.248
B6,D-Xylose,Carbohydrates,60,P.copri,0.47
C6,I-Erythritol,Carbohydrates,60,P.copri,0.276
D6,D-Mannitol,Carbohydrates,60,P.copri,0.277
E6,N-Acetyl-D-glucosamine,Carbohydrates,60,P.copri,0.322
F6,D-Glucosaminic acid,Carboxylic acids,60,P.copri,0.307
G6,Glucose-1-Phosphate,Carbohydrates,60,P.copri,0.318
H6,Alpha-Glycerol-Phosphate,Carbohydrates,60,P.copri,0.3
A7,D-Galactoic acid-gamma-lactone,Carbohydrates,60,P.copri,0.263
B7,D-Galacturonic acid,Carboxylic acids,60,P.copri,0.32
C7,2-Hydroxybenzoic Acid,Phenolic acids,60,P.copri,0.315
D7,4-Hydroxybenzoic acid,Phenolic acids,60,P.copri,0.286
E7,gamma-Hydroxy-Butyric Acid,Carboxylic acids,60,P.copri,0.309
F7,Itaconic acid,Carboxylic acids,60,P.copri,0.298
